user_id,signup_date,kyc_status,risk_score
USR_1064,2026-01-08,Verified,Medium
USR_1065,2026-03-01,Verified,Low
USR_1066,2026-01-25,Verified,Low
USR_1067,2026-01-06,Verified,Low
USR_1068,2026-02-05,Verified,Low
USR_1069,2026-01-19,Failed,Low
USR_1070,2026-02-23,Verified,Medium
USR_1071,2026-02-10,Verified,Medium
USR_1072,2026-02-09,Verified,Medium
USR_1073,2026-02-26,Verified,Medium
USR_1074,2026-02-25,Verified,Low
USR_1075,2026-01-24,Verified,Low
USR_1076,2026-02-06,Verified,Medium
USR_1077,2026-01-13,Verified,Low
USR_1078,2026-02-15,Verified,Low
USR_1079,2026-01-05,Verified,Medium
USR_1080,2026-01-03,Pending,Medium
USR_1081,2026-02-12,Verified,Low
USR_1082,2026-01-15,Verified,Low
USR_1083,2026-02-19,Verified,Low
USR_1084,2026-01-19,Verified,Low
USR_1085,2026-01-06,Verified,Low
USR_1086,2026-02-24,Verified,Low
USR_1087,2026-01-15,Verified,Low
USR_1088,2026-02-25,Pending,Low
USR_1089,2026-01-07,Verified,Low
USR_1090,2026-01-25,Verified,Low
USR_1091,2026-01-18,Verified,Low
USR_1092,2026-01-30,Verified,Medium
USR_1093,2026-02-10,Verified,Low
USR_1094,2026-02-23,Verified,Low
USR_1095,2026-01-24,Verified,Low
USR_1096,2026-01-11,Verified,Medium
USR_1097,2026-01-24,Verified,Low
USR_1098,2026-01-23,Verified,Low
USR_1099,2026-01-14,Verified,Low
USR_1100,2026-02-12,Verified,Low
USR_1101,2026-01-18,Verified,Low
USR_1102,2026-02-14,Verified,Low
USR_1103,2026-03-01,Verified,Low
USR_1104,2026-02-13,Pending,Low
USR_1105,2026-02-11,Verified,High
USR_1106,2026-01-05,Verified,Low
USR_1107,2026-02-08,Verified,Low
USR_1108,2026-02-10,Verified,Medium
USR_1109,2026-01-11,Verified,Low
USR_1110,2026-02-04,Verified,Low
USR_1111,2026-02-16,Verified,Low
USR_1112,2026-01-16,Pending,Low
USR_1113,2026-01-11,Verified,High
USR_1114,2026-01-30,Verified,Medium
USR_1115,2026-01-25,Pending,Low
USR_1116,2026-01-18,Verified,Low
USR_1117,2026-03-01,Verified,Low
USR_1118,2026-02-10,Pending,Low
USR_1119,2026-02-14,Verified,Low
USR_1120,2026-02-05,Verified,Low
USR_1121,2026-01-15,Pending,Low
USR_1122,2026-02-13,Verified,Low
USR_1123,2026-01-21,Verified,Low
USR_1124,2026-02-23,Verified,High
USR_1125,2026-02-19,Verified,Low
USR_1126,2026-02-19,Verified,Low
USR_1127,2026-01-04,Pending,Low
USR_1128,2026-01-15,Verified,Low
USR_1129,2026-02-22,Verified,Low
USR_1130,2026-01-03,Verified,Low
USR_1131,2026-02-21,Verified,Medium
USR_1132,2026-01-21,Verified,Low
USR_1133,2026-01-26,Verified,Low
USR_1134,2026-01-18,Pending,Low
USR_1135,2026-01-05,Verified,Low
USR_1136,2026-01-14,Verified,Medium
USR_1137,2026-02-28,Verified,Low
USR_1138,2026-03-02,Verified,Low
USR_1139,2026-02-06,Failed,Low
USR_1140,2026-02-26,Pending,Low
USR_1141,2026-02-15,Verified,Low
USR_1142,2026-01-21,Verified,Low
USR_1143,2026-01-14,Verified,Low
USR_1144,2026-02-11,Verified,Low
USR_1145,2026-02-01,Verified,Low
USR_1146,2026-01-26,Verified,Low
USR_1147,2026-02-26,Verified,Low
USR_1148,2026-02-28,Verified,Low
USR_1149,2026-02-11,Verified,Low
USR_1150,2026-01-30,Pending,Low
USR_1151,2026-01-10,Verified,Medium
USR_1152,2026-01-17,Verified,Low
USR_1153,2026-01-09,Verified,Low
USR_1154,2026-01-16,Failed,Low
USR_1155,2026-02-17,Verified,Low
USR_1156,2026-02-05,Verified,Low
USR_1157,2026-02-04,Verified,Low
USR_1158,2026-01-17,Verified,Medium
USR_1159,2026-02-17,Verified,Low
USR_1160,2026-02-07,Verified,Low
USR_1161,2026-01-28,Verified,Low
USR_1162,2026-02-27,Verified,Low
USR_1163,2026-02-07,Verified,Low
USR_1164,2026-01-26,Verified,Medium
USR_1165,2026-01-24,Verified,Low
USR_1166,2026-01-15,Verified,High
USR_1167,2026-01-09,Verified,Medium
USR_1168,2026-02-02,Verified,Low
USR_1169,2026-02-01,Verified,Low
USR_1170,2026-01-06,Verified,Low
USR_1171,2026-02-18,Verified,Low
USR_1172,2026-01-04,Verified,Low
USR_1173,2026-02-25,Verified,Low
USR_1174,2026-01-08,Verified,Low
USR_1175,2026-01-10,Verified,Low
USR_1176,2026-02-10,Verified,Medium
USR_1177,2026-01-11,Verified,Low
USR_1178,2026-02-20,Pending,Medium
USR_1179,2026-02-13,Verified,Low
USR_1180,2026-01-28,Verified,Low
USR_1181,2026-02-08,Verified,Low
USR_1182,2026-01-05,Pending,Low
USR_1183,2026-01-25,Pending,Medium
USR_1184,2026-01-25,Verified,Low
USR_1185,2026-02-08,Verified,Medium
USR_1186,2026-01-30,Verified,Low
USR_1187,2026-02-03,Verified,Low
USR_1188,2026-01-17,Verified,Medium
USR_1189,2026-02-05,Verified,Medium
USR_1190,2026-02-25,Verified,High
USR_1191,2026-03-02,Pending,Low
USR_1192,2026-01-01,Pending,Low
USR_1193,2026-02-13,Verified,Medium
USR_1194,2026-02-16,Verified,Low
USR_1195,2026-01-08,Verified,Medium
USR_1196,2026-02-13,Verified,Medium
USR_1197,2026-02-26,Pending,Low
USR_1198,2026-02-04,Pending,Medium
USR_1199,2026-02-18,Verified,Medium
